"ID","Domain","Layer","Indicator_Name_EN","Indicator_Name_JP","Definition","Data_Source","Update_Frequency","Threshold","Decision_Owner","Action_Trigger","Rationale"
"S-RE-02","RE","Meso","Facility and Equipment Utilization and Optimization Index","施設・設備稼働率・最適化指数","Utilization rates of classrooms, specialist rooms, ICT equipment, and PE facilities, plus an optimization index based on variance across facility types.","Facility booking system; usage records","monthly","Utilization <30%: reassign or multipurpose; >90%: capacity shortage","Principal (R: Business Manager; C: Facilities Division; I: Teachers)","Promote STEAM-supporting specialist-room utilization; rebalance schedule to equalize use.","Standard asset-utilization analytics imported from operations management; previously absent in many K-12 schools."
"S-RE-03","RE","Meso","AI-Driven Operational Efficiency Indicator","AI活用による業務効率化指標","AI-attributable reduction in teacher workload (time saved) combined with qualitative-improvement self-assessment on instruction, individualization, and feedback.","AI usage logs × work-hours data × teacher surveys","monthly",">=10 hours saved per month: target achieved; no qualitative improvement: review usage patterns","Principal (R: ICT Lead Teacher; C: Board of Education; I: All teachers)","Track where freed time is redirected; the ideal redirection is increased dialogue with students rather than additional administrative load.","Closes the loop on M-RE-03 by confirming whether AI investment translates into reclaimed teacher time and qualitative improvement."
"T-RE-01","RE","Micro","Lesson Preparation Efficiency and AI Utilization","授業準備効率・AI活用度","Teacher-level lesson-preparation time and AI utilization share, paired with self-rated lesson quality to capture the time-quality dyad.","Teacher self-logs; AI usage logs","monthly","Target: 30% reduction in preparation time vs pre-AI baseline; if quality drops: review usage approach","Teacher (A: Grade Chief; C: ICT Lead Teacher; I: Principal)","Treat AI as a means, not an end; reject AI-enabled efficiency that erodes instructional quality.","Individual-level analogue of S-RE-03; protects against the perverse incentive of 'efficiency at the cost of teaching quality.'"
"T-RE-02","RE","Micro","Individualized Support Capacity and Quality Indicator","個別対応キャパシティ・質指標","Number of students individually supported per week × support quality (depth-weighted), normalized by the teacher's instructional load.","Instruction records; work-time data","monthly","Quality score <=2 sustained: overload; capacity index sudden drop: add support resources","Teacher (A: Vice-Principal; C: Grade Chief; I: Support Staff)","Reinforce with support-staff allocation when overload is sustained; track AI-enabled capacity gains separately.","Surfaces the quantity-quality trade-off in individualization; without it, individualization mandates can silently erode quality."
"T-RE-03","RE","Micro","Teacher Wellbeing Indicator","教員ウェルビーイング指標","Composite of job satisfaction, inverse stress, self-efficacy, and collegial relationships, plus a Maslach Burnout Inventory-derived burnout-risk score.","Anonymous pulse surveys (monthly short form, quarterly long form)","monthly","Score <50: individual support recommended; high burnout risk: occupational physician referral; school mean <60: organizational improvement","Teacher self-report (A: Principal; C: Occupational Physician, SC; I: HR Division)","Provide confidential support; aggregate trends drive organizational-level interventions rather than individual blame.","Teacher wellbeing is strongly correlated with student learning outcomes; the PLM infrastructure-health indicator par excellence."
"M-LE-01","LE","Macro","Composite Learning Engagement Index","学習エンゲージメント総合指数","Tri-dimensional composite of behavioral engagement (participation), cognitive engagement (deep-learning strategy use), and emotional engagement (intrinsic interest, belonging, self-efficacy).","Behavioral data (LMS / attendance) + survey + learning-strategy inventory","quarterly","Composite -0.5SD vs national mean: caution; <-1SD: warning; behavioral high but cognitive low: 'pseudo-engagement' alert; sudden emotional drop: mental-health caution","Superintendent (R: Education Policy Division; C: Researchers; I: Principals)","Diagnose the dimension dragging the composite; tailor district response (e.g., metacognitive PD vs belonging interventions).","Direct educational transfer of the Patient Activation Measure; protects against 'going through the motions' visible only in cognitive-dimension data."
"M-LE-02","LE","Macro","Active Learning Participation Rate and PAM-E Stage Distribution","主体的学習参加率・PAM教育版段階","Share of students participating in at least one active learning activity (inquiry, extracurriculars, volunteering), and the four-stage PAM-E activation distribution.","Activity records; PAM-E questionnaire (newly developed)","quarterly","Participation <50%: expand opportunities; Stage 1 >30%: strengthen motivational policy; Stage 4 <20%: expand autonomy-support programs","Superintendent (R: Education Policy Division; C: Researchers; I: Principals)","Develop and validate PAM-E nationally; the instrument itself is intended as a research contribution.","Direct educational analog of PAM, the most-cited patient-activation instrument in healthcare; tracks the passive-to-self-directed continuum."
"M-LE-03","LE","Macro","Self-Regulated Learning Ability Distribution","自己調整学習能力分布","Distribution across metacognitive strategies, cognitive strategies, and motivational strategies (MSLQ short form), with low-group share tracking.","MSLQ short form (or municipal-equivalent) administered via GIGA devices","annually","Low group >25%: introduce SRL program; >40%: emergency district-wide initiative","Superintendent (R: Curriculum Supervisor; C: Researchers; I: Teachers)","Trigger curriculum embedding of self-regulation strategies; cross-tabulate the low group with SDoL to plan equity-sensitive responses.","Increasingly critical in the AI era to prevent over-reliance; cultivates learners who do not 'over-delegate' to AI partners."
"S-LE-01","LE","Meso","School Engagement Environment Score","学校エンゲージメント環境スコア","Qualitative composite of school-provided engagement-supporting features: instructional interactivity, choice opportunities, student-self-governance, creative activities, and psychological safety.","Lesson-observation rubric; student surveys; activity records","quarterly","Score <60: improvement plan required; -1SD vs district mean: priority support","Principal (R: Research Chief; C: Curriculum Supervisor; I: Teachers)","Cross-correlate environment score with student engagement composite to identify highest-leverage environmental factors.","Captures the school's enabling environment as a measurable property; engagement is co-produced by learner and setting."
"S-LE-02","LE","Meso","Qualitative Depth of Inquiry Learning","探究学習の質的深度","Rubric-based stage rating of inquiry activities (1: search-and-copy, 2: summarize-organize, 3: analyze-evaluate, 4: hypothesis-testing, 5: knowledge creation) averaged at the school level.","Inquiry-activity rubric (teacher and peer evaluation)","quarterly","Mean depth <2.0: improve inquiry instruction; >60% at stage 1: fundamental redesign of inquiry lessons","Principal (R: Integrated Learning Lead; C: Curriculum Supervisor; I: Community partners)","Extend rubric to capture AI-as-inquiry-partner depth; provide modeling and coaching to lift average depth.","Measures quality, not the mere presence, of inquiry; in the AI era, surface-level 'search-and-copy' inquiry is the dominant risk."
"S-LE-03","LE","Meso","School Belonging and Sense-of-Place Index","学校帰属意識・居場所感指数","Survey-based composite of belonging ('I feel safe here', 'I am valued') and sense of place ('I have a place at school', 'someone helps me when I struggle').","School-adaptation surveys via GIGA devices","quarterly","Low group (<50) >15%: deploy environment-improvement program; -5pt vs previous wave: analyze environmental change","Principal (R: Counseling Coordinator; C: SC; I: Homeroom Teachers)","Use low belonging as the leading input to LRS risk modeling; pair with class-level interventions.","Belonging is among the strongest leading indicators of futoukou; the bridge between LE and LRS in causal modeling."
"T-LE-01","LE","Micro","In-Class Engagement Real-Time Indicator","授業内エンゲージメント・リアルタイム指標","Active in-class participation share, digital participation via LMS interactions, and the share of activity at Bloom's higher-order levels (analyze, evaluate, create).","Lesson-observation rubric; LMS logs","daily","Participation <40%: redesign lesson; 2-week digital-participation drop: individual check; Bloom upper-tier <20%: raise thinking level","Homeroom/Subject Teacher (A: Grade Chief; C: Research Chief; I: Principal)","Detect participation skew (active minority dominating); design lessons that broaden participation; lift Bloom-level mix where overly low.","Real-time engagement telemetry analogous to monitoring patient response during procedure; ensures broad rather than concentrated participation."
"T-LE-02","LE","Micro","Self-Efficacy and Motivation Trajectory","自己効力感・動機づけ推移","Individual trajectory of academic self-efficacy (Bandura short form) and self-determination-theory motivation profile (amotivation through intrinsic).","Monthly pulse survey (3 items)","monthly","3 consecutive months of decline: 1:1 meeting; self-efficacy <1.5: emergency support (SC referral); amotivation state: reconstruct learning meaning","Homeroom Teacher (A: Counseling Coordinator; C: SC; I: Parent on need)","Treat persistent self-efficacy decline as a possible early marker of depressive symptoms; connect with mental-health monitoring.","Self-efficacy collapse is both a learning and a mental-health leading indicator; this indicator bridges LE and student wellbeing."
"T-LE-03","LE","Micro","Flow State and Optimal Challenge Achievement Rate","フロー状態・最適挑戦レベル達成率","Frequency of flow-state experience (Csikszentmihalyi) and the time distribution across anxiety / flow / boredom zones based on challenge-skill balance.","Post-lesson 2-item ESM-style pulse; adaptive-learning AI difficulty-setting telemetry","weekly","Flow rate <1x per week: adjust task difficulty; anxiety zone >30%: lower difficulty; boredom zone >30%: raise difficulty / extension tasks","Homeroom/Subject Teacher (A: Grade Chief; C: ICT Lead Teacher; I: Student themselves)","Let adaptive-AI auto-tune difficulty toward sustained flow; co-evolutionary scaffolding's operational heart.","Integrates flow theory with the adaptive-AI tier; the indicator where co-evolutionary scaffolding becomes computational and real-time."
